	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	39.1	8.4	12.2	12.2	16.1	8.4	12.2	10.3	8.4	14.1	8.4	10.3	10.3	8.4		8.4
2	8.4	39.1	10.3	10.3	8.4	8.4	12.2	10.3	10.3	12.2	8.4	8.4		10.3	10.3	10.3
3	12.2	10.3	39.1	8.4	8.4	12.2	8.4	8.4	12.2	8.4	10.3	12.2	12.2	18	8.4	8.4
4	12.2	10.3	8.4	39.1	10.3	8.4	14.1	8.4	8.4	10.3	8.4	8.4	8.4	8.4	8.4	12.2
5	16.1	8.4	8.4	10.3	39.1	10.3	10.3	8.4	12.2	12.2	10.3	8.4	10.3	12.2	12.2	
6	8.4	8.4	12.2	8.4	10.3	39.1	8.4	12.2	12.2	8.4	12.2	14.1	10.3	14.1	10.3	8.4
7	12.2	12.2	8.4	14.1	10.3	8.4	39.1	8.4	10.3	10.3	8.4	12.2	8.4	8.4	8.4	12.2
8	10.3	10.3	8.4	8.4	8.4	12.2	8.4	39.1	10.3	8.4	8.4	14.1	16.1	10.3	10.3	12.2
9	8.4	10.3	12.2	8.4	12.2	12.2	10.3	10.3	39.1	10.3	12.2	10.3	10.3	8.4	16.1	10.3
10	14.1	12.2	8.4	10.3	12.2	8.4	10.3	8.4	10.3	39.1	10.3	10.3	12.2	8.4	8.4	12.2
11	8.4	8.4	10.3	8.4	10.3	12.2	8.4	8.4	12.2	10.3	39.1	14.1	8.4	8.4	10.3	10.3
12	10.3	8.4	12.2	8.4	8.4	14.1	12.2	14.1	10.3	10.3	14.1	39.1	12.2	8.4	8.4	10.3
13	10.3		12.2	8.4	10.3	10.3	8.4	16.1	10.3	12.2	8.4	12.2	39.1	10.3	10.3	8.4
14	8.4	10.3	18	8.4	12.2	14.1	8.4	10.3	8.4	8.4	8.4	8.4	10.3	39.1	8.4	8.4
15		10.3	8.4	8.4	12.2	10.3	8.4	10.3	16.1	8.4	10.3	8.4	10.3	8.4	39.1	
16	8.4	10.3	8.4	12.2		8.4	12.2	12.2	10.3	12.2	10.3	10.3	8.4	8.4		39.1
