	Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8	Seq9	Seq10	Seq11	Seq12	Seq13	Seq14	Seq15	Seq16
Seq1	39.1	10.3	12.2	10.3	14.1	10.3	10.3	12.2	8.4		14.1	10.3	12.2	12.2	10.3	8.4
Seq2	10.3	39.1	8.4	8.4	12.2	10.3	12.2	8.4	10.3	10.3	8.4	10.3	10.3	10.3	12.2	10.3
Seq3	12.2	8.4	39.1	10.3	12.2	10.3	12.2	14.1		10.3	8.4	12.2	10.3	10.3	8.4	8.4
Seq4	10.3	8.4	10.3	39.1	10.3	10.3	10.3	14.1	8.4	12.2	12.2	10.3	10.3	10.3	8.4	10.3
Seq5	14.1	12.2	12.2	10.3	39.1	12.2	10.3	12.2		8.4	10.3	12.2	12.2	10.3	8.4	8.4
Seq6	10.3	10.3	10.3	10.3	12.2	39.1	10.3	12.2	10.3	14.1	12.2	14.1	12.2	14.1	12.2	12.2
Seq7	10.3	12.2	12.2	10.3	10.3	10.3	39.1	10.3	8.4	10.3	10.3	10.3	10.3	10.3	14.1	10.3
Seq8	12.2	8.4	14.1	14.1	12.2	12.2	10.3	39.1		14.1	10.3	12.2	14.1	10.3	10.3	10.3
Seq9	8.4	10.3		8.4		10.3	8.4		39.1		16.1					
Seq10		10.3	10.3	12.2	8.4	14.1	10.3	14.1		39.1		10.3				
Seq11	14.1	8.4	8.4	12.2	10.3	12.2	10.3	10.3	16.1		39.1	8.4	16.1	10.3	10.3	10.3
Seq12	10.3	10.3	12.2	10.3	12.2	14.1	10.3	12.2		10.3	8.4	39.1				
Seq13	12.2	10.3	10.3	10.3	12.2	12.2	10.3	14.1			16.1		39.1	8.4	12.2	10.3
Seq14	12.2	10.3	10.3	10.3	10.3	14.1	10.3	10.3			10.3		8.4	39.1	10.3	10.3
Seq15	10.3	12.2	8.4	8.4	8.4	12.2	14.1	10.3			10.3		12.2	10.3	39.1	16.1
Seq16	8.4	10.3	8.4	10.3	8.4	12.2	10.3	10.3			10.3		10.3	10.3	16.1	39.1
